,CNY,JPY,INR,EUR,GBP,time,USD
49,1102.953801382321,1100.0416257257705,1103.4619107900812,1070.8260011731456,1076.2172635789736,1486618440,1072.53
50,1103.7700982175336,1099.898794104511,1088.6533621267408,1067.231909561137,1076.2172635789736,1486618500,1072.51
51,1104.1673335758458,1099.6418937025458,1088.6533621267408,1067.1785847597719,1074.3796487280456,1486618560,1072.27
52,1104.2575481993454,1099.7234479678427,1074.5084518579195,1067.1892497200447,1074.3796487280456,1486618620,1072.23
53,1104.078574026919,1100.165073693613,1073.821133368084,1070.431397643044,1074.3796487280456,1486618680,1071.91
54,1104.737722808294,1100.1018311746313,1073.821133368084,1070.3674078814056,1074.3796487280456,1486618740,1072.36
55,1104.6125863950529,1100.308530594015,1073.4278054955694,1070.3460779608597,1074.3796487280456,1486618800,1072.03
56,1105.5685703892325,1100.4975435462259,1073.4246779358107,1070.3460779608597,1074.3796487280456,1486618860,1072.3
57,1105.689341578756,1100.9804376953996,1074.1435698860676,1070.953980696422,1074.4421526345395,1486618920,1072.49
58,1104.628592215351,1100.6873604287628,1102.8352073869983,1071.0819602196982,1074.4421526345395,1486618980,1072.33
59,1103.150236449618,1100.4152746761947,1102.8352073869983,1070.570042126593,1074.4421526345395,1486619040,1072.25
60,1103.714805383776,1099.981509602501,1102.8352073869983,1070.7300165306885,1074.4421526345395,1486619100,1072.54
61,1104.119316114951,1099.856989727557,1103.212152803634,1069.5035460992908,1074.4421526345395,1486619160,1072.0
62,1103.0178246635141,1099.5792764627065,1103.212152803634,1073.3855916386713,1074.4421526345395,1486619220,1071.95
63,1103.3263004728992,1099.8178651183564,1104.623129049073,1069.6421905828402,1074.4421526345395,1486619280,1071.9
64,1103.3801382320844,1100.0615453327378,1104.149676074168,1070.8153362128726,1074.4421526345395,1486619340,1072.28
65,1104.0494725354674,1100.266368914694,1104.149676074168,1071.7858475977177,1074.554659666229,1486619400,1071.9
66,1103.4150600218263,1099.920500223314,1104.2088018467498,1070.7726763717806,1074.342146384149,1486619460,1072.01
67,1105.1902510003638,1099.8403751674855,1088.9950107975278,1071.5298885511652,1074.342146384149,1486619520,1072.15
68,1102.974172426337,1099.8871817775791,1088.9950107975278,1071.5298885511652,1074.342146384149,1486619580,1071.91
69,1103.9563477628228,1100.1310406431442,1088.9950107975278,1073.6095558044046,1074.342146384149,1486619640,1071.77
70,1105.1305929428884,1100.1654309959804,1072.1198897907516,1072.4897349757373,1074.9671854490905,1486619700,1071.94
71,1105.1626045834848,1100.2133095131755,1072.1198897907516,1073.353596757852,1074.9671854490905,1486619760,1072.06
72,1103.5532921062206,1100.314694059848,1072.1024648149528,1072.5217298565562,1074.9671854490905,1486619820,1072.5
73,1102.2699163332122,1100.4401071907103,1073.6832228758658,1072.5430597771024,1074.9671854490905,1486619880,1072.6
74,1099.6085849399783,1098.9743635551586,1103.2423858813017,1071.5192235908921,1072.6170385649102,1486619940,1072.13
75,1099.0352855583849,1097.9531933899061,1103.2423858813017,1071.3805791073428,1072.6170385649102,1486620000,1069.45
76,1098.3528555838489,1098.0284948637784,1102.9160771464742,1070.7726763717806,1072.6170385649102,1486620060,1069.26
77,1096.4976355038198,1097.7789191603395,1102.9519696179912,1069.3329067349223,1072.1795112194511,1486620120,1068.74
78,1095.3073845034558,1097.4632425189816,1102.9519696179912,1069.204927211646,1072.1795112194511,1486620180,1068.64
79,1093.9163332120772,1095.9436355515854,1102.9519696179912,1069.204927211646,1072.1795112194511,1486620240,1067.85
80,1092.9734448890506,1095.4441268423402,1086.9416933502123,1067.317229243321,1068.6917932370773,1486620300,1068.23
81,1092.4423426700619,1095.3573916927198,1071.8121974830592,1068.0851063829787,1068.6917932370773,1486620360,1068.19
82,1091.538741360495,1094.5620366234925,1100.552684488793,1066.4427025009334,1069.2543283955247,1486620420,1066.39
83,1092.1658785012733,1095.3784725323806,1085.5473974234865,1066.5813469844825,1069.2543283955247,1486620480,1066.08
84,1091.9330665696618,1094.898794104511,1085.5473974234865,1066.6560017063937,1066.7416713544596,1486620540,1065.29
85,1091.6304110585668,1094.8164359088878,1083.8793655521633,1066.7519863488508,1060.7662978936182,1486620600,1065.52
86,1093.539468897781,1094.3693613220187,1098.08474197632,1066.5706820242096,1060.7662978936182,1486620660,1065.44
87,1094.603128410331,1094.5365788298348,1069.6659468314842,1066.6133418653017,1060.7662978936182,1486620720,1065.55
88,1093.9294288832302,1094.5668602054488,1069.6659468314842,1066.6133418653017,1065.7791111944496,1486620780,1067.55
89,1093.8246635140051,1095.6205448861099,1097.3175962469284,1066.9012957926732,1065.7791111944496,1486620840,1067.96
90,1094.6118588577665,1095.529968736043,1097.3175962469284,1066.9652855543113,1065.7791111944496,1486620900,1067.89
91,1093.3619497999273,1095.2781598928093,1097.3175962469284,1066.9759505145844,1065.7791111944496,1486620960,1067.76
92,1094.1913423062933,1095.47619472979,1097.3175962469284,1067.0186103556764,1065.154072129508,1486621020,1067.96
93,1093.4201527828302,1095.888075033497,1100.671978553876,1067.9784567802485,1065.154072129508,1486621080,1068.04
94,1093.727173517643,1096.534435015632,1100.6736167994638,1066.9439556337652,1065.154072129508,1486621140,1069.02
95,1093.1000363768644,1097.332023224654,1085.4237843473081,1069.162267370554,1065.154072129508,1486621200,1069.38
96,1092.371044016006,1098.662259937472,1085.4237843473081,1069.3862315362876,1065.154072129508,1486621260,1068.51
97,1091.129865405602,1098.2287628405538,1085.4237843473081,1067.829147336426,1065.154072129508,1486621320,1068.88
98,1093.5583848672245,1098.6259937472084,1085.2610023084371,1067.6158481309658,1065.154072129508,1486621380,1068.64
99,1091.8384867224445,1098.362751228227,1100.175143346489,1066.2720631365648,1065.154072129508,1486621440,1068.56
100,1091.4950891233177,1096.3951764180438,1099.9650011169856,1066.9866154748574,1065.154072129508,1486621500,1067.84
